GRUPO;CUIDADO
Parda;44
Branca;36
Branca;44
Parda;40
Parda;42
Branca;44
Branca;42
Parda;39
Parda;45
Branca;38
Branca;41
Parda;44
Branca;31
Branca;44
Branca;46
Branca;42
Branca;29
Branca;40
Branca;40
Branca;40
Branca;44
Parda;39
Branca;45
Preta;38
Branca;44
Branca;40
Preta;32
Branca;27
Branca;47
Branca;41
Branca;38
Branca;43
Parda;46
Parda;38
Branca;41
Branca;40
Branca;30
Branca;41
Branca;38
Branca;43
Branca;45
Parda;32
Parda;45
Branca;45
Branca;44
Branca;47
Branca;40
Branca;37
Branca;50
Branca;30
Parda;36
Parda;34
Parda;47
Branca;39
Branca;37
Branca;38
Parda;48
Branca;49
Parda;38
Parda;41
Parda;42
Branca;46
Branca;37
Branca;49
Branca;44
Branca;47
Branca;46
Preta;51
Branca;37
Preta;41
Preta;46
Branca;45
Branca;49
Branca;36
Preta;34
Parda;52
Branca;38
Branca;41
Preta;48
Parda;36
Branca;40
Preta;44
Branca;37
Branca;40
Branca;46
Branca;39
Branca;32
Parda;30
Parda;46
Branca;38
Parda;41
Parda;44
Branca;46
Preta;39
Branca;44
Parda;45
Branca;48
Preta;49
Branca;47
Preta;53
Preta;57
Branca;56
Branca;51
Preta;51
Parda;53
Parda;52
Branca;57
Branca;53
Parda;52
Parda;54
Branca;53
Branca;53
Parda;51
Preta;53
Preta;53
Parda;32
Parda;50
Preta;52
Preta;54
Branca;48
Preta;55
Branca;44
Parda;53
Branca;43
Parda;45
Preta;51
Branca;43
Preta;49
Branca;53
Branca;51
Parda;54
Preta;51
Branca;54
Parda;54
Branca;47
Parda;55
Branca;54
Preta;48
Preta;52
Preta;54
Branca;51
Branca;53
Parda;52
Parda;39
Preta;52
Preta;51
Branca;50
Preta;53
Branca;52
Preta;39
Branca;34
Preta;49
Preta;49
Parda;51
Parda;51
Preta;48
Parda;48
Branca;42
Preta;41
Branca;35
Preta;41
Preta;47
Branca;45
Preta;55
Parda;55
Preta;52
Parda;56
Branca;42
Parda;54
Preta;51
Branca;44
Branca;42
Branca;41
Parda;41
Branca;41
Preta;50
Branca;52
Branca;46
Parda;49
Preta;43
Preta;49
Branca;43
Parda;58
Branca;51
Branca;50
Parda;54
Parda;52
Branca;51
Branca;52
Parda;53
Branca;50
Branca;49
Branca;46
Parda;53
Branca;49
Branca;46
Branca;40
Parda;52
Branca;49
Branca;52
Branca;52
Branca;52
Branca;50
Parda;47
Preta;38
Branca;52
Preta;51
Branca;52
Branca;41
Branca;49
Branca;51
Preta;48
Branca;49
Branca;48
Parda;51
Branca;48
Preta;50
Branca;47
Branca;50
Branca;48
Parda;45
Parda;46
Branca;48
Parda;41
Branca;42
Branca;50
Branca;52
Branca;44
Branca;48
Parda;50
Branca;49
Branca;51
Branca;53
Parda;48
Branca;49
Branca;49
Branca;47
Branca;35
Branca;52
Branca;53
Branca;37
Branca;50
Preta;35
Branca;42
Branca;45
Branca;55
Branca;49
Branca;42
Branca;48
Branca;54
Branca;52
Branca;49
Branca;51
Branca;48
Preta;45
Branca;49
Branca;45
Preta;51
Branca;46
Branca;45
Parda;51
Branca;47
Branca;45
Branca;45
Branca;39
Branca;52
Branca;44
Preta;51
Branca;52
Preta;48
Branca;52
Branca;46
Branca;44
Branca;46
Branca;46
Branca;45
Branca;50
Branca;49
Branca;51
Branca;53
Branca;46
Branca;42
Branca;42
Branca;49
Branca;37
Parda;36
Branca;33
Preta;50
Branca;47
Preta;52
Parda;55
Branca;51
Branca;52
Branca;46
Branca;52
Branca;49
Branca;51
Branca;49
Branca;49
Branca;48
Branca;48
Branca;39
Branca;51
Branca;50
Branca;52
Branca;47
Preta;47
Branca;50
Branca;49
Parda;48
Branca;48
Branca;51
Branca;44
Branca;44
Branca;37
Preta;46
Parda;51
Branca;49
Branca;51
Branca;48
Preta;47
Branca;47
Parda;47
Branca;48
Branca;45
Branca;41
Branca;49
Parda;52
Branca;48
Branca;49
Branca;48
Branca;48
Branca;48
Branca;48
Preta;49
Branca;50
Branca;49
Parda;49
Parda;45
Branca;47
Parda;46
Branca;44
Preta;40
Branca;49
Branca;41
Preta;49
Branca;46
Branca;43
Parda;45
Branca;48
Branca;41
Branca;48
Preta;48
Branca;42
Preta;43
Branca;47
Parda;48
Branca;43
Branca;49
Parda;53
Preta;46
Branca;52
Preta;51
Preta;53
Branca;44
Preta;47
Preta;52
Branca;49
Branca;49
Parda;49
Branca;52
Branca;52
Preta;36
Branca;45
Parda;52
Preta;50
Branca;50
